id,url,content_type,requires_raw,raw_url
68,"https://storybook.js.org/docs",website,False,""
69,"https://fluent2.microsoft.design/",framework_docs,False,""
70,"https://fluent2.microsoft.design/",framework_docs,False,""
71,"https://storybook.js.org/docs",website,False,""
72,"https://mui.com/material-ui/",framework_docs,False,""
73,"https://fluent2.microsoft.design/",framework_docs,False,""
74,"https://tanstack.com/table/latest",framework_docs,False,""
75,"https://tanstack.com/learn",framework_docs,False,""
76,"https://fluent2.microsoft.design/",framework_docs,False,""
77,"https://swr.vercel.app",framework_docs,False,""
78,"https://formik.org/docs/overview",website,False,""
79,"https://github.com/streamich/react-use/blob/master/docs/useAsync.md",github_markdown,True,"https://raw.githubusercontent.com/streamich/react-use/master/docs/useAsync.md"
80,"https://tanstack.com/query/latest",framework_docs,False,""
81,"https://github.com/streamich/react-use/blob/master/docs/useAsyncRetry.md",github_markdown,True,"https://raw.githubusercontent.com/streamich/react-use/master/docs/useAsyncRetry.md"
82,"https://github.com/streamich/react-use/blob/master/docs/useAsyncFn.md",github_markdown,True,"https://raw.githubusercontent.com/streamich/react-use/master/docs/useAsyncFn.md"
83,"https://inversify.io/",framework_docs,False,""
84,"https://github.com/TanStack/table/blob/main/README.md",github_markdown,True,"https://raw.githubusercontent.com/TanStack/table/main/README.md"
85,"https://tanstack.com/table/latest",framework_docs,False,""
86,"https://tanstack.com/table/latest",framework_docs,False,""
87,"https://tanstack.com/table/latest/docs/framework/react/examples/basic",framework_docs,False,""
88,"https://www.apollographql.com/docs/react/",framework_docs,False,""
89,"https://remix.run/docs/en/main",website,False,""
90,"https://www.typescriptlang.org/docs/",website,False,""
91,"https://nextjs.org/docs",website,False,""
92,"https://tanstack.com/form/latest",framework_docs,False,""
93,"https://tanstack.com/query/latest",framework_docs,False,""
94,"https://swr.vercel.app",framework_docs,False,""
95,"https://tanstack.com/table/latest",framework_docs,False,""
96,"https://remix.run/docs/en/main",website,False,""
97,"https://www.typescriptlang.org/docs/",website,False,""
98,"https://remix.run/docs/en/main",website,False,""
99,"https://tanstack.com/query/latest",framework_docs,False,""
100,"https://web3js.readthedocs.io/",documentation,False,""
101,"https://fluent2.microsoft.design/",framework_docs,False,""
102,"https://lit.dev/docs/",website,False,""
103,"https://fluent2.microsoft.design/",framework_docs,False,""
104,"https://fluent2.microsoft.design/",framework_docs,False,""
105,"https://fluent2.microsoft.design/",framework_docs,False,""
106,"https://lit.dev/docs/",website,False,""
107,"https://lit.dev/docs/",website,False,""
108,"https://fluent2.microsoft.design/",framework_docs,False,""
109,"https://www.solidjs.com/docs/latest",website,False,""
110,"https://definitelytyped.org/",framework_docs,False,""
111,"https://angular.dev/",documentation,False,""
112,"https://docs.nestjs.com",documentation,False,""
113,"https://docs.nestjs.com",documentation,False,""
114,"https://tanstack.com/query/latest",framework_docs,False,""
115,"https://docs.nestjs.com",documentation,False,""
116,"https://ant.design/docs/react/introduce",framework_docs,False,""
117,"https://aurelia.io/docs",website,False,""
118,"https://typegraphql.com/docs/introduction.html",framework_docs,False,""
119,"https://discord.js.org/docs",framework_docs,False,""
120,"https://docs.nestjs.com",documentation,False,""
121,"https://aurelia.io/docs",website,False,""
